Município,Estado,Administração pública direta,Sociedade de economia mista com administração pública,Empresa privada,Empresa pública,Organização social,POPULAÇÃO ESTIMADA,sabesp,cedae,copasa,sanepar,corsan,embasa,compesa,saneago,caesb,cagece,brk,Reclamacoes a cada 1000 habitantes,Extravasamentos de esgotos registrados a cada 1000 habitantes,Quantidade de interrupções sistemáticas a cada 1000 habitantes,Quantidade de serviços executados a cada 1000 habitantes,QD011 - Quantidades de extravasamentos de esgotos registrados,QD021 - Quantidade de interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados
Rio Branco,AC,1,0,0,0,0,"407319,0",0,0,0,0,0,0,0,0,0,0,0,"37,71982156491595",,"0,005646679874987417","28,694954077762144",,"2,3","15364,0","11688,0"
Anadia,AL,0,1,0,0,0,"17545,0",0,0,0,0,0,0,0,0,0,0,0,"154,74494157879738",,"0,4559703619264748","151,7811342262753",,"8,0","2715,0","2663,0"
Arapiraca,AL,1,1,0,0,0,"231747,0",0,0,0,0,0,0,0,0,0,0,0,"32,380138685721924","0,6817779733933989",,"26,317492783078098","158,0",,"7504,0","6099,0"
Barra de São Miguel,AL,1,1,0,0,0,"8322,0",0,0,0,0,0,0,0,0,0,0,0,"164,3835616438356",,,"154,40999759673156",,,"1368,0","1285,0"
Batalha,AL,1,1,0,0,0,"18232,0",0,0,0,0,0,0,0,0,0,0,0,"59,236507240017545","0,767880649407635","6,636682755594559","59,236507240017545","14,0","121,0","1080,0","1080,0"
Cacimbinhas,AL,1,1,0,0,0,"10858,0",0,0,0,0,0,0,0,0,0,0,0,"24,68226192669",,"17,59071652237981","24,68226192669",,"191,0","268,0","268,0"
Cajueiro,AL,0,0,0,0,0,"21264,0",0,0,0,0,0,0,0,0,0,0,0,"81,02896914973664",,"0,6583897667419112","76,84349134687734",,"14,0","1723,0","1634,0"
Campo Alegre,AL,1,1,0,0,0,"57063,0",0,0,0,0,0,0,0,0,0,0,0,"15,263831204107742",,,"15,176208751730544",,,"871,0","866,0"
Capela,AL,0,1,0,0,0,"17053,0",0,0,0,0,0,0,0,0,0,0,0,"177,32950214038587","0,9382513340761156","0,1759221251392717","173,9869817627397","16,0","3,0","3024,0","2967,0"
Coité do Nóia,AL,1,1,0,0,0,"10693,0",0,0,0,0,0,0,0,0,0,0,0,"5,704666604320583",,"2,2444589918638362","5,424109230337604",,"24,0","61,0","58,0"
