,Município,Estado,Prestadores,Serviços,Natureza Jurídica,QD011 - Quantidades de extravasamentos de esgotos registrados,QD012 - Duração dos extravasamentos registrados,QD021 - Quantidade de interrupções sistemáticas,QD022 - Duração das interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados,QD025 - Tempo total de execução dos serviços,POPULAÇÃO ESTIMADA
15,Rio Branco,AC,[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12004040] Secretaria Municipal de Zeladoria da Cidade - SMZC,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,2.3,"38.790,00",15.364,11.688,"54.912,00",407319
23,Anadia,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,8.0,"88,00",2.715,2.663,"800,00",17545
24,Arapiraca,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27003040] Prefeitura Municipal de Arapiraca - PMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,158.0,"7.584,00",,,7.504,6.099,"292.752,00",231747
27,Barra de São Miguel,AL,"[27043000] Companhia de Saneamento de Alagoas - CASAL | [27006040] Secretaria Municipal de Infraestrutura, Acessibilidade e Transporte - SEMIAT",Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.368,1.285,"1.501,76",8322
28,Batalha,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27007040] Prefeitura Municipal de Batalha - PMB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,14.0,"1.022,00",121.0,"1.937,00",1.080,1.080,"28.080,00",18232
33,Cacimbinhas,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27012040] Prefeitura Municipal de Cacimbinhas - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,191.0,"2.842,00",268,268,"6.968,00",10858
34,Cajueiro,AL,[27013011] Serviço Autônomo de Água e Esgoto - SAAE,Água e Esgoto,Autarquia,,,14.0,"84,00",1.723,1.634,"1.152,00",21264
36,Campo Alegre,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27014011] Prefeitura Municipal de Campo Alegre - PMCA | [27014040] SECRETARIA DE UBANISMO E SERVIÇOS PÚBLICOS - SMUSP,Água e Esgoto | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,871,866,"2.479,65",57063
39,Capela,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água e Esgoto,Sociedade de economia mista com administração pública,16.0,"768,00",3.0,"24,00",3.024,2.967,"889,00",17053
42,Coité do Nóia,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27020040] Prefeitura Municipal de Coité do Nóia - PMCN,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,24.0,"4.032,00",61,58,"2.784,00",10693
45,Coruripe,AL,[27023011] Prefeitura Municipal de Coruripe - PMC,Água e Esgoto,Administração pública direta,,,68.0,"962,00",2.445,2.366,"3.600,00",56933
47,Delmiro Gouveia,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27024040] prefeitura municipal de Delmiro Gouveia - pmdg,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,2.0,"14,00",5.420,4.264,"2.023,69",52016
48,Dois Riachos,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27025040] Prefeitura Municipal de Dois Riachos - PMDR,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,177.0,"2.937,00",528,528,"13.728,00",11075
49,Estrela de Alagoas,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,28.0,"335,00",2.542,2.498,"750,00",18205
52,Flexeiras,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,357.0,"8.568,00",215,215,"115,55",12790
54,Ibateguara,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27030040] PREFEITURA MUNICIPAL DE IBATEGUARA - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,115,115,"330,80",15616
58,Jacaré dos Homens,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27034040] Prefeitura Municipal de Jacaré Dos Homens - PMJH,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,21.0,"568,00",307,307,"7.982,00",5253
59,Jacuípe,AL,"[27043000] Companhia de Saneamento de Alagoas - CASAL | [27035040] secretaria municipal de infraestrutura, transportes e serviços públicos - SMITSP",Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,209,209,"295,13",7021
61,Jaramataia,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27037011] Prefeitura Municipal de Jaramataia - PMJ | [27037040] Prefeitura Municipal de Jaramataia - PMJ,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,260.0,"4.044,00",480,480,"12.455,00",5770
63,Joaquim Gomes,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL,Água,Sociedade de economia mista com administração pública,,,,,1.170,1.170,"872,64",23993
64,Jundiá,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27039040] Prefeitura Municipal de Jundiá - PMJ,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,44,44,"207,69",4155
68,Maceió,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27043040] Superintendência Municipal de Desenvolvimento Sustentável - SUDES,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Autarquia,,,236.0,"3.929,91",53.726,50.769,"4.817.624,60",1018948
69,Major Isidoro,AL,[27043000] Companhia de Saneamento de Alagoas - CASAL | [27044040] PREFEITURA MUNICIPAL DE MAJOR IZIDORO - PMMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,245.0,"3.348,00",581,581,"15.106,00",19804
